27205,Inception,8364,34495,Released,2010-07-15,825532764,148,False,160000000,tt1375666,en,Inception,83952,oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,"Action, Science Fiction, Adventure"
157336,Interstellar,8417,32571,Released,2014-11-05,701729206,169,False,165000000,tt0816692,en,Interstellar,140241,gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,"Adventure, Drama, Science Fiction"
155,The Dark Knight,8512,30619,Released,2008-07-16,1004558444,152,False,185000000,tt0468569,en,The Dark Knight,130643,qJ2tW6WMUDux911r6m7haRef0WH.jpg,"Drama, Action, Crime, Thriller"
19995,Avatar,7573,29815,Released,2009-12-15,2923706026,162,False,237000000,tt0499549,en,Avatar,79932,kyeqWdyUXW608qlYkRqosgbbJyK.jpg,"Action, Adventure, Fantasy, Science Fiction"
24428,The Avengers,7.71,29166,Released,2012-04-25,1518815515,143,False,220000000,tt0848228,en,The Avengers,98082,RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,"Science Fiction, Action, Adventure"
293660,Deadpool,7606,28894,Released,2016-02-09,783100000,108,False,58000000,tt1431045,en,Deadpool,72735,zq8Cl3PNIDGU3iWNRoc5nEZ6pCe.jpg,"Action, Adventure, Comedy"
299536,Avengers: Infinity War,8255,27713,,2018-04-25,2052415039,149,False,300000000,tt4154756,en,Avengers: Infinity War,154.34,7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,"Adventure, Action, Science Fiction"
550,Fight Club,8438,27238,Released,1999-10-15,100853753,139,False,63000000,tt0137523,en,Fight Club,69498,pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,Drama
118340,Guardians of the Galaxy,7906,26638,Released,2014-07-30,772776600,121,False,170000000,tt2015381,en,Guardians of the Galaxy,33255,r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,"Action, Science Fiction, Adventure"
680,Pulp Fiction,8488,25893,Released,1994-09-10,213900000,154,False,8500000,tt0110912,en,Pulp Fiction,74862,d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,"Thriller, Crime"
13,Forrest Gump,8477,25409,Released,1994-06-23,677387716,142,False,55000000,tt0109830,en,Forrest Gump,92693,arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,"Comedy, Drama, Romance"
671,Harry Potter and the Philosopher's Stone,7916,25379,Released,2001-11-16,976475550,152,False,125000000,tt0241527,en,Harry Potter and the Philosopher's Stone,185482,wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,"Adventure, Fantasy"
1726,Iron Man,7.64,24874,Released,2008-04-30,585174222,126,False,140000000,tt0371746,en,Iron Man,72897,78lPtwv72eTNqFW9COBYI0dWDJa.jpg,"Action, Science Fiction, Adventure"
68718,Django Unchained,8171,24672,Released,2012-12-25,425368238,165,False,100000000,tt1853728,en,Django Unchained,54224,7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,"Drama, Western"
